IMDB ID,BoxOffice,Country,Director,Genre,Plot,Rated,Released,Runtime,Title,Year,imdbRating,imdbVotes,budget,popularity,vote_average,vote_count
tt0073195,"$267,263,625",United States,Steven Spielberg,"['Adventure', 'Drama', 'Horror']","When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",PG,20 Jun 1975,124 min,Jaws,1975,8.1,"689,820",7000000.0,28.925875,7.664,10673.0
tt0076759,"$460,998,507",United States,George Lucas,"['Action', 'Adventure', 'Fantasy']","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth ...",PG,25 May 1977,121 min,Star Wars: Episode IV - A New Hope,1977,8.6,"1,498,082",11000000.0,46.79275,8.202,20979.0
tt0076666,"$94,213,184",United States,John Badham,"['Drama', 'Music']","Anxious about his future after high school, a 19-year-old Italian-American from Brooklyn tries to escape the harsh reality of his bleak family life by dominating the dance floor at the local disco.",R,16 Dec 1977,118 min,Saturday Night Fever,1977,6.8,"90,015",3500000.0,10.70575,6.7,1940.0
tt0076618,"$71,215,869",United States,"John Lounsbery, Wolfgang Reitherman, Art Stevens","['Animation', 'Adventure', 'Comedy']",Two mice of the Rescue Aid Society search for a little girl kidnapped by unscrupulous treasure hunters.,G,22 Jun 1977,77 min,The Rescuers,1977,6.9,"71,743",7500000.0,11.81525,6.773,2529.0
tt0076009,"$30,749,142",United States,"John Boorman, Rospo Pallenberg",['Horror'],"A teenage girl once possessed by a demon finds that it still lurks within her. Meanwhile, a priest investigates the death of the girl's exorcist.",R,17 Jun 1977,117 min,Exorcist II: The Heretic,1977,3.8,"29,325",14000000.0,7.682375,4.5,728.0
tt0083866,"$439,454,989",United States,Steven Spielberg,"['Adventure', 'Family', 'Sci-Fi']",A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.,PG,11 Jun 1982,115 min,E.T. the Extra-Terrestrial,1982,7.9,"451,476",10500000.0,21.48125,7.5,11338.0
tt0084805,"$177,200,000",United States,Sydney Pollack,"['Comedy', 'Drama', 'Romance']","Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap.",PG,17 Dec 1982,116 min,Tootsie,1982,7.4,"117,509",21000000.0,8.2465,7.2,1784.0
tt0084434,"$129,795,554",United States,Taylor Hackford,"['Drama', 'Romance']","A young man must complete his work at a Navy Officer Candidate School to become an aviator, with the help of a tough Gunnery Sergeant and his new girlfriend.",R,13 Aug 1982,124 min,An Officer and a Gentleman,1982,7.1,"64,436",7500000.0,11.904125,7.0,1115.0
tt0084602,"$125,049,125",United States,Sylvester Stallone,"['Drama', 'Sport']","Rocky faces the ultimate challenge from a powerful new contender, and must turn to a former rival to help regain his throne as the undisputed fighting champion.",PG,28 May 1982,99 min,Rocky III,1982,6.8,"217,381",17000000.0,16.9895,6.894,4183.0
tt0084726,"$79,707,906",United States,Nicholas Meyer,"['Action', 'Adventure', 'Sci-Fi']","With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",PG,04 Jun 1982,113 min,Star Trek II: The Wrath of Khan,1982,7.7,"131,232",12000000.0,13.6325,7.5,1945.0
tt0083511,"$78,868,508",United States,Walter Hill,"['Action', 'Comedy', 'Crime']",A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him in order to track down a killer.,R,08 Dec 1982,96 min,48 Hrs.,1982,6.9,"88,990",12000000.0,11.523375,6.692,1523.0
tt0084516,"$77,177,301",United States,Tobe Hooper,"['Horror', 'Thriller']","A family's home becomes the center of paranormal activity that opens a doorway to the ""other side."" With help, they must cross over to get their daughter back.",PG,04 Jun 1982,114 min,Poltergeist,1982,7.3,"187,275",10700000.0,13.55925,7.1,3068.0
tt0083642,"$69,701,637",United States,Colin Higgins,"['Comedy', 'Musical']",A town's Sheriff and regular patron of a historical whorehouse fights to keep it running when a television reporter targets it as the Devil's playhouse.,R,23 Jul 1982,114 min,The Best Little Whorehouse in Texas,1982,6.1,"13,760",27500000.0,3.425375,6.2,160.0
tt0083564,"$57,059,003",United States,John Huston,"['Comedy', 'Drama', 'Family']","A spunky young orphan is taken in by a rich eccentric, much to the chagrin of the cantankerous woman who runs the orphanage.",PG,18 Jun 1982,127 min,Annie,1982,6.6,"50,903",35000000.0,5.83825,6.5,708.0
tt0084855,"$53,977,250",United States,Sidney Lumet,['Drama'],"An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.",R,17 Dec 1982,129 min,The Verdict,1982,7.7,"47,307",16000000.0,6.660125,7.4,655.0
tt0083944,"$47,212,904",United States,Ted Kotcheff,"['Action', 'Adventure', 'Thriller']",A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,R,22 Oct 1982,93 min,First Blood,1982,7.7,"284,990",15000000.0,10.41,7.5,6392.0
tt0084809,"$47,118,057",United States,Richard Donner,['Comedy'],An underemployed reporter finds himself literally purchased as a toy for a rich spoiled brat.,PG,10 Dec 1982,102 min,The Toy,1982,5.8,"14,920",28000000.0,2.868375,5.816,209.0
tt0083641,"$36,821,203",United States,Norman Jewison,"['Comedy', 'Drama', 'Romance']","After five successful years of living and working together, a couple decide to get married. But what they don't count on is how to survive the honeymoon.",PG,17 Dec 1982,116 min,Best Friends,1982,5.5,"3,285",15000000.0,1.973125,5.1,48.0
tt0083972,"$36,690,067",United States,Steve Miner,"['Horror', 'Thriller']",Jason Voorhees stalks a group of friends who have just arrived to spend the weekend at a cabin near Crystal Lake.,R,13 Aug 1982,95 min,Friday the 13th: Part 3,1982,5.6,"63,191",2200000.0,16.425,5.9,1440.0
