IMDB ID,BoxOffice,Country,Director,Genre,Plot,Rated,Released,Runtime,Title,Year,imdbRating,imdbVotes,budget,popularity,vote_average,vote_count
tt0097441,"$26,979,166",United States,Edward Zwick,"['Biography', 'Drama', 'History']","Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",R,16 Feb 1990,122 min,Glory,1989,7.8,"148,261",18000000,3.1741,7.5,1657
tt0098724,"$24,741,667",United States,Steven Soderbergh,['Drama'],A sexually repressed woman's husband is having an affair with her sister. The arrival of a visitor with a rather unusual fetish changes everything.,R,22 Sep 1989,100 min,"Sex, Lies, and Videotape",1989,7.2,"61,096",1200000,3.3721,6.9,933
tt0097981,"$22,168,359",United States,Stephen Hopkins,"['Fantasy', 'Horror']","The pregnant Alice finds Freddy Krueger striking through the sleeping mind of her unborn child, hoping to be reborn into the real world.",R,11 Aug 1989,89 min,A Nightmare on Elm Street: The Dream Child,1989,5.0,"52,716",8000000,2.8324,5.4,1299
tt0097142,"$22,103,037",United States,Gary David Goldberg,"['Comedy', 'Drama']","While his mom recovers in hospital from a heart attack, John puts his busy life on hold to fly home and help his elderly dad around the house. John's son later joins them and they all truly bond for the first and, tragically, fina...",PG,10 Nov 1989,117 min,Dad,1989,6.3,"5,354",19000000,0.6903,6.3,106
tt0097770,"$22,099,847",United States,John Flynn,"['Action', 'Crime', 'Drama']","With only six months left of his sentence, inmate Frank Leone is transferred from a minimum security prison to a maximum security prison by a vindictive warden.",R,04 Aug 1989,109 min,Lock Up,1989,6.4,"47,954",24000000,3.5724,6.817,1224
tt0097116,"$22,026,369",United States,Joel Schumacher,"['Comedy', 'Romance']",Two couples go to a mutual friend's wedding and end up swapping partners.,PG-13,10 Feb 1989,113 min,Cousins,1989,6.4,"5,200",13000000,0.6596,5.982,56
tt0098343,"$19,674,852",United States,Blake Edwards,"['Comedy', 'Drama', 'Romance']","A womanizing alcoholic writer, whose life seems to be falling apart at the seams, repeatedly finds himself in trouble of one sort or another with the law, ex-girlfriends, and jealous boyfriends.",R,03 Mar 1989,101 min,Skin Deep,1989,6.1,"5,297",8500000,0.5728,6.2,79
tt0097027,"$18,671,317",United States,Brian De Palma,"['Action', 'Crime', 'Drama']","During the Vietnam War, a soldier finds himself the outsider of his own squad when they unnecessarily kidnap a female villager, for their sexual enjoyment.",R,18 Aug 1989,113 min,Casualties of War,1989,7.1,"49,546",22500000,2.0482,7.2,902
tt0097123,"$18,254,702",United States,Woody Allen,"['Comedy', 'Drama']",An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.,PG-13,03 Nov 1989,104 min,Crimes and Misdemeanors,1989,7.8,"61,754",19000000,1.0268,7.42,887
tt0098320,"$16,554,699",United States,Wes Craven,"['Comedy', 'Horror', 'Thriller']","After being sent to the electric chair, a serial killer uses electricity to come back from the dead and carry out his vengeance on the football player who turned him in to the police.",R,27 Oct 1989,109 min,Shocker,1989,5.5,"18,419",5000000,1.1004,5.6,431
