IMDB ID,BoxOffice,Country,Director,Genre,Plot,Rated,Released,Runtime,Title,Year,imdbRating,imdbVotes,budget,popularity,vote_average,vote_count
tt0089791,"$41,047,344",United States,Tim Burton,"['Adventure', 'Comedy', 'Family']","When eccentric man-child Pee-wee Herman gets his beloved bike stolen in broad daylight, he sets out across the U.S. on the adventure of his life.",PG,09 Aug 1985,91 min,Pee-wee's Big Adventure,1985,7.0,"60,693",6000000,1.2857,6.5,785
tt0088850,"$40,833,132",United States,Walter Hill,['Comedy'],"A minor-league baseball player must spend $30 million in 30 days in order to inherit $300 million. However, he's not allowed to own any assets, destroy the money, gift it, give it to charity, or tell anyone about the deal.",PG,22 May 1985,102 min,Brewster's Millions,1985,6.5,"44,392",20000000,1.4153,6.594,608
tt0089360,"$40,491,165",United States,Richard Marquand,"['Drama', 'Mystery', 'Thriller']",A wealthy woman is murdered in her beach house. The husband is allegedly knocked out first. He inherits all. He has a female ex criminal prosecutor represent him in court.,R,04 Oct 1985,108 min,Jagged Edge,1985,6.5,"17,401",15000000,1.035,6.3,262
tt0088944,"$35,100,000",United States,Mark L. Lester,"['Action', 'Adventure', 'Thriller']","A retired Special Forces colonel tries to save his daughter, who was abducted by his former subordinate.",R,04 Oct 1985,90 min,Commando,1985,6.7,"178,731",10000000,3.5906,6.693,2870
tt0090022,"$32,192,570",United States,Lawrence Kasdan,"['Action', 'Crime', 'Drama']",A band of misfit friends come together to right the injustices which exist in a small town.,PG-13,10 Jul 1985,133 min,Silverado,1985,7.2,"51,373",23000000,2.7753,7.0,736
tt0089643,"$30,867,525",United States,Martin Ritt,"['Comedy', 'Drama', 'Romance']","Emma moves to a ranch with her son after a divorce and befriends the older Murphy, but things turn complicated when her ex shows up.",PG-13,31 Jan 1986,107 min,Murphy's Romance,1985,7.0,"7,253",13000000,0.4164,6.1,66
tt0089686,"$29,999,213",United States,Jack Sholder,['Horror'],"A teenage boy is haunted in his dreams by deceased child murderer Freddy Krueger, who is out to possess him in order to continue his reign of terror in the real world.",R,01 Nov 1985,87 min,A Nightmare on Elm Street 2: Freddy's Revenge,1985,5.5,"80,678",3000000,3.8011,5.773,1919
tt0089017,"$27,398,584",United States,Susan Seidelman,"['Comedy', 'Drama']",A bored New Jersey suburban housewife's fascination with a free-spirited woman she has read about in the personal columns leads to her being mistaken for the woman herself.,PG-13,12 Apr 1985,104 min,Desperately Seeking Susan,1985,6.1,"26,827",4500000,1.9955,6.1,448
tt0089461,"$25,754,284",United States,Michael Schultz,"['Action', 'Comedy', 'Drama']","In New York City, a young man searches for a Master to obtain the final level of martial arts mastery known as the Glow.",PG-13,22 Mar 1985,109 min,The Last Dragon,1985,6.8,"18,396",10000000,1.4642,6.4,256
tt0089175,"$24,922,237",United States,Tom Holland,['Horror'],"""Fright Night"" sees a teenager believing that the newcomer in his neighborhood is a vampire. He turns to an actor in a television hosted horror movie show for help to deal with the undead.",R,02 Aug 1985,106 min,Fright Night,1985,7.0,"83,704",9000000,2.4948,7.0,1408
tt0090305,"$23,834,048",United States,John Hughes,"['Comedy', 'Romance', 'Sci-Fi']","Two high-school nerds use a computer program to literally create the perfect woman, who promptly turns their lives upside-down.",PG-13,02 Aug 1985,94 min,Weird Science,1985,6.6,"100,707",7500000,2.1477,6.545,1417
tt0089173,"$21,930,418",United States,Danny Steinmann,"['Horror', 'Mystery', 'Thriller']","Still haunted by his past, Tommy Jarvis, who, as a child, killed Jason Voorhees, is sent to a secluded halfway house in the countryside, where the killing of a young man triggers a brutal series of murders in the area.",R,22 Mar 1985,92 min,Friday the 13th: A New Beginning,1985,4.8,"46,373",2200000,3.2026,5.252,1178
tt0088814,"$21,288,692",United States,"Ted Berman, Richard Rich","['Animation', 'Action', 'Adventure']",A young boy and a group of misfit friends embark on a quest to find a dark magic item of ultimate power before a diabolical tyrant can.,PG,24 Jul 1985,80 min,The Black Cauldron,1985,6.3,"42,596",25000000,2.4214,6.4,1338
tt0088936,"$20,345,361",United States,Andrew Davis,"['Action', 'Crime', 'Drama']",A Chicago cop is caught in the middle of a gang war while his own comrades shun him because he wants to take down an irresponsible cop.,R,03 May 1985,100 min,Code of Silence,1985,6.0,"9,935",7000000,0.9992,5.878,213
tt0090357,"$19,739,575",United States,Barry Levinson,"['Adventure', 'Fantasy', 'Mystery']","When assorted people start having inexplicable delusions that lead to their deaths, a teenage Sherlock Holmes decides to investigate.",PG-13,04 Dec 1985,109 min,Young Sherlock Holmes,1985,6.8,"23,959",18000000,2.18,6.734,638
tt0091223,"$19,444,631",United States,Steve Miner,"['Comedy', 'Fantasy', 'Horror']",A troubled writer moves into a haunted house after inheriting it from his aunt.,R,28 Feb 1986,93 min,House,1985,6.1,"31,243",3000000,1.2689,6.2,574
tt0090350,"$18,707,466",United States,Michael Cimino,"['Action', 'Crime', 'Drama']",A police detective cracks down on organized crime in Chinatown after the murders of Triad and Mafia leaders.,R,16 Aug 1985,134 min,Year of the Dragon,1985,6.8,"18,478",24000000,1.218,6.9,434
tt0090103,"$18,135,531",United States,Rob Reiner,"['Comedy', 'Drama', 'Romance']","Walter Gibson is a university freshman going through a dry spell. His old buddy arranges a ""sure thing"" for him in California. Gibson and his classmate Allison then take a long road trip out to Cali, and both foil each other's plans.",PG-13,01 Mar 1985,95 min,The Sure Thing,1985,7.0,"22,771",4500000,0.8664,6.536,289
tt0089348,"$17,536,256",United States,Joseph Zito,"['Action', 'Thriller']",A one-man army comes to the rescue when the United States are invaded by communists.,R,27 Sep 1985,107 min,Invasion U.S.A.,1985,5.4,"11,591",12000000,0.9409,5.8,295
tt0090180,"$17,307,019",United States,William Friedkin,"['Action', 'Crime', 'Drama']",A fearless Secret Service agent will stop at nothing to bring down the counterfeiter who killed his partner.,R,01 Nov 1985,116 min,To Live and Die in L.A.,1985,7.3,"40,626",6000000,1.6234,7.099,679
tt0089003,"$16,116,878",United States,Michael Winner,"['Action', 'Crime', 'Drama']",Architect/vigilante Paul Kersey arrives back in New York City and is forcibly recruited by a crooked police chief to fight street crime caused by a large gang terrorizing the neighborhoods.,R,01 Nov 1985,90 min,Death Wish 3,1985,5.8,"17,965",9000000,1.4582,6.2,431
tt0089421,"$15,057,465",United States,J. Lee Thompson,"['Action', 'Adventure', 'Comedy']",Fortune hunter Allan Quatermain teams up with a resourceful woman to help her find her missing father lost in the wilds of 1900s Africa while being pursued by hostile tribes and a rival German explorer.,PG-13,22 Nov 1985,100 min,King Solomon's Mines,1985,5.2,"15,390",12500000,1.1779,5.4,422
tt0088930,"$14,643,997",United States,Jonathan Lynn,"['Comedy', 'Crime', 'Mystery']","Six guests are anonymously invited to a strange mansion for dinner, but after their host is killed, they must cooperate with the staff to identify the murderer as the bodies pile up.",PG,13 Dec 1985,94 min,Clue,1985,7.3,"113,652",15000000,4.2442,7.223,1763
tt0089907,"$14,237,880",United States,Dan O'Bannon,"['Comedy', 'Horror', 'Sci-Fi']","When two bumbling employees at a medical supply warehouse accidentally release a deadly gas into the air, the vapors cause the dead to rise again as zombies.",R,16 Aug 1985,91 min,The Return of the Living Dead,1985,7.3,"72,291",4000000,2.8713,7.2,2108
tt0088915,"$14,202,899",United States,Richard Attenborough,"['Drama', 'Music', 'Musical']",Hopefuls try out before a demanding director for a part in a new musical.,PG-13,20 Dec 1985,118 min,A Chorus Line,1985,6.2,"11,935",25000000,0.9117,6.2,183
tt0089886,"$12,952,019",United States,Martha Coolidge,"['Comedy', 'Romance', 'Sci-Fi']","An uptight teenage prodigy enters a top engineering college, but feels awkward among the freewheeling students. When a professor aims to turn their laser project into a military weapon, he and his offbeat roommate plot to ruin the...",PG,07 Aug 1985,108 min,Real Genius,1985,6.9,"38,846",8000000,1.6236,6.7,446
tt0089798,"$12,918,858",United States,James Bridges,"['Drama', 'Romance']","A female aerobics instructor meets a male reporter doing a story on health clubs, but it isn't love at first sight.",Approved,07 Jun 1985,115 min,Perfect,1985,4.7,"6,150",19000000,0.7723,5.6,186
tt0088947,"$12,531,831",United States,Frank Perry,"['Comedy', 'Drama', 'Mystery']",An ex-newspaper woman who is now a suburban housewife can't resist getting involved in an investigation of the murder of a philandering dentist who had been having affairs with several of her neighbors.,R,30 Aug 1985,99 min,Compromising Positions,1985,5.9,"1,128",6000000,0.2806,5.5,16
tt0089444,"$11,052,713",United States,Michael Schultz,"['Comedy', 'Drama', 'Music']",The story of a man who has started a new hip-hop/rap label called Krush Groove.,R,25 Oct 1985,97 min,Krush Groove,1985,6.4,"3,621",3000000,0.5356,6.2,41
tt0089604,"$10,755,447",United States,Lance Hool,"['Action', 'Drama', 'Thriller']","Prequel to the first Missing In Action, set in the early 1980s it shows the capture of Colonel Braddock during the Vietnam war in the 1970s, and his captivity with other American POWs in a brutal prison camp, and his plans to escape.",R,01 Mar 1985,100 min,Missing in Action 2: The Beginning,1985,5.3,"9,733",2410000,1.0328,5.8,288
tt0089853,"$10,631,333",United States,Woody Allen,"['Comedy', 'Fantasy', 'Romance']","In 1935 New Jersey, a movie character walks off the screen and into the real world.",PG,19 Apr 1985,82 min,The Purple Rose of Cairo,1985,7.7,"56,453",15000000,1.8701,7.4,1059
